rank,variant_id,family,wave,hypothesis,ok,ret_pct,dd_pct,orders,sharpe,sweep_config_hash,source_report,run_dir,result_path,error
1,entry_gapvol_base,entry_confirmation,4,Canonical intraday gap/loud-open confirmation under George ranking.,True,27.813,20.2,74,0.984,7db5e9b81a85,george_context_30_w4_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w4_fy2025_stable4/7db5e9b81a85/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w4_fy2025_stable4/7db5e9b81a85/fy2025_full/backtests/2026-06-09_04-45-36/1935688263.json,
2,entry_gapvol_vol125,entry_confirmation,4,Require 1.25x opening volume for a louder confirmation.,True,27.813,20.2,74,0.984,fb8bb45b04d6,george_context_30_w4_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w4_fy2025_stable4/fb8bb45b04d6/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w4_fy2025_stable4/fb8bb45b04d6/fy2025_full/backtests/2026-06-09_05-20-59/1959035263.json,
3,entry_gapvol_vol150,entry_confirmation,4,Require 1.5x opening volume to test stricter selectivity.,True,27.813,20.2,74,0.984,ff644ec0fb60,george_context_30_w4_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w4_fy2025_stable4/ff644ec0fb60/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w4_fy2025_stable4/ff644ec0fb60/fy2025_full/backtests/2026-06-09_05-21-58/1175410517.json,
4,exit_kijun_phase3_base,exit_management,5,Kijun G3 structural exit control.,True,27.813,20.2,74,0.984,8d5df2b30af1,george_context_30_w5_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/8d5df2b30af1/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/8d5df2b30af1/fy2025_full/backtests/2026-06-09_05-01-51/1139773614.json,
5,exit_cloud_adherence,exit_management,5,Hold recoverable Kijun dips until cloud-bottom adherence breaks.,True,27.813,20.2,74,0.984,52250de26fd3,george_context_30_w5_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/52250de26fd3/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/52250de26fd3/fy2025_full/backtests/2026-06-09_05-02-36/1158882868.json,
6,exit_weekly_kijun,exit_management,5,Add weekly Kijun as a higher-timeframe structural stop.,True,27.813,20.2,74,0.984,e80be68bffbb,george_context_30_w5_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/e80be68bffbb/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/e80be68bffbb/fy2025_full/backtests/2026-06-09_05-19-28/1552787308.json,
7,exit_proactive_target_06,exit_management,5,Take strength at +6% if the structure remains bullish.,True,27.813,20.2,74,0.984,392481b405a6,george_context_30_w5_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/392481b405a6/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/392481b405a6/fy2025_full/backtests/2026-06-09_05-21-23/1907601651.json,
8,exit_proactive_giveback_tight,exit_management,5,Tighter MFE giveback capture for winners that stall.,True,27.813,20.2,74,0.984,4d38649cde20,george_context_30_w5_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/4d38649cde20/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/4d38649cde20/fy2025_full/backtests/2026-06-09_05-38-52/1226490454.json,
9,exit_scratch_flat_3d,exit_management,5,Scratch stalled trades near flat after three days without useful MFE.,True,27.813,20.2,74,0.984,dfc65d904d4c,george_context_30_w5_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/dfc65d904d4c/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w5_fy2025_stable4/dfc65d904d4c/fy2025_full/backtests/2026-06-09_05-40-00/1171158188.json,
10,industry_top3_focus,industry_warmup,1,Only the strongest three industries get ranking preference.,True,27.695,19.4,72,1.025,9dd32f0fc86e,george_context_30_w1_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/9dd32f0fc86e/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/9dd32f0fc86e/fy2025_full/backtests/2026-06-09_03-17-02/1790216725.json,
