variant_id,family,wave,base_module,hypothesis,sweep_config_hash,window,ok,sharpe,ret_pct,dd_pct,orders,realized_net,unrealized,closed_trades,closed_wins,closed_losses,closed_win_rate,artifact_path,artifact_sha256,run_dir,result_path,error
giveback_no_bull_top20_base,realization_baseline,3,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. LambdaMART Top-20 gate with the selected real strategy's current exit unchanged.,90f501618cf2,fy2025_full,True,0.643,11.338,15.4,316,23679.83,"$-12,046.21",148,127,21,85.8108108108108,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/top20_realized_exit_fy2025_455/giveback_no_bull_top20_base/90f501618cf2/fy2025_full,sweeps/runs/top20_realized_exit_fy2025_455/giveback_no_bull_top20_base/90f501618cf2/fy2025_full/backtests/2026-06-10_20-31-06/1557568294.json,
giveback_no_bull_top20_stale20,stale_mfe,3,strategies.realized_giveback_no_bull,"Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Add stale-MFE exit after 20 trading sessions without a fresh peak, once MFE reached 4%.",1c173eae7b0b,fy2025_full,True,0.514,9.324,16.6,474,19855.69,"$-10,078.08",227,159,68,70.04405286343612,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/top20_realized_exit_fy2025_455/giveback_no_bull_top20_stale20/1c173eae7b0b/fy2025_full,sweeps/runs/top20_realized_exit_fy2025_455/giveback_no_bull_top20_stale20/1c173eae7b0b/fy2025_full/backtests/2026-06-10_20-32-14/1510753122.json,
giveback_no_bull_top20_stale30,stale_mfe,3,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Add slower stale-MFE exit after 30 trading sessions without a fresh peak.,b6e266beaf6e,fy2025_full,True,0.574,10.483,16.8,434,22423.88,"$-11,526.58",207,161,46,77.77777777777779,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/top20_realized_exit_fy2025_455/giveback_no_bull_top20_stale30/b6e266beaf6e/fy2025_full,sweeps/runs/top20_realized_exit_fy2025_455/giveback_no_bull_top20_stale30/b6e266beaf6e/fy2025_full/backtests/2026-06-10_20-31-39/1328067877.json,
giveback_no_bull_top20_mfe_gb04,mfe_giveback,3,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Add tighter intraday giveback realization once MFE reaches 4%.,9acaed2c9fd7,fy2025_full,True,0.589,10.774,16.5,302,24288.36,"$-13,232.88",141,136,5,96.45390070921985,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/top20_realized_exit_fy2025_455/giveback_no_bull_top20_mfe_gb04/9acaed2c9fd7/fy2025_full,sweeps/runs/top20_realized_exit_fy2025_455/giveback_no_bull_top20_mfe_gb04/9acaed2c9fd7/fy2025_full/backtests/2026-06-10_21-07-36/1377973179.json,
giveback_no_bull_top20_mfe_gb06,mfe_giveback,3,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Add tighter intraday giveback realization once MFE reaches 6%.,007c7d9097d3,fy2025_full,True,0.662,12.076,16.5,314,25408.05,"$-13,038.32",147,136,11,92.51700680272108,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/top20_realized_exit_fy2025_455/giveback_no_bull_top20_mfe_gb06/007c7d9097d3/fy2025_full,sweeps/runs/top20_realized_exit_fy2025_455/giveback_no_bull_top20_mfe_gb06/007c7d9097d3/fy2025_full/backtests/2026-06-10_21-14-52/1694209544.json,
giveback_no_bull_top20_age60,age_cap,3,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Add a 60-trading-session age cap for positions that are not strong runners.,2fab83594646,fy2025_full,True,0.746,13.062,14.6,675,21680.59,"$-7,964.47",327,227,100,69.41896024464832,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/top20_realized_exit_fy2025_455/giveback_no_bull_top20_age60/2fab83594646/fy2025_full,sweeps/runs/top20_realized_exit_fy2025_455/giveback_no_bull_top20_age60/2fab83594646/fy2025_full/backtests/2026-06-10_21-15-37/1888806812.json,
target04_fast_take_top20_base,realization_baseline,3,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. LambdaMART Top-20 gate with the selected real strategy's current exit unchanged.,90f501618cf2,fy2025_full,True,0.602,10.479,15.7,249,20516.77,"$-9,809.47",114,109,5,95.6140350877193,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/top20_realized_exit_fy2025_455/target04_fast_take_top20_base/90f501618cf2/fy2025_full,sweeps/runs/top20_realized_exit_fy2025_455/target04_fast_take_top20_base/90f501618cf2/fy2025_full/backtests/2026-06-10_21-51-35/1944321944.json,
target04_fast_take_top20_stale20,stale_mfe,3,strategies.realized_target_04_fast_take,"Highest closed win rate/profit-factor realized candidate from #408. Add stale-MFE exit after 20 trading sessions without a fresh peak, once MFE reached 4%.",1c173eae7b0b,fy2025_full,True,0.451,7.819,16.2,400,13766.75,"$-5,567.86",190,130,60,68.42105263157895,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/top20_realized_exit_fy2025_455/target04_fast_take_top20_stale20/1c173eae7b0b/fy2025_full,sweeps/runs/top20_realized_exit_fy2025_455/target04_fast_take_top20_stale20/1c173eae7b0b/fy2025_full/backtests/2026-06-10_21-58-39/1415109488.json,
target04_fast_take_top20_stale30,stale_mfe,3,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. Add slower stale-MFE exit after 30 trading sessions without a fresh peak.,b6e266beaf6e,fy2025_full,True,0.632,12.115,17.6,403,18950.29,"$-6,453.35",191,146,45,76.43979057591623,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/top20_realized_exit_fy2025_455/target04_fast_take_top20_stale30/b6e266beaf6e/fy2025_full,sweeps/runs/top20_realized_exit_fy2025_455/target04_fast_take_top20_stale30/b6e266beaf6e/fy2025_full/backtests/2026-06-10_21-59-18/1136251558.json,
target04_fast_take_top20_mfe_gb04,mfe_giveback,3,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. Add tighter intraday giveback realization once MFE reaches 4%.,9acaed2c9fd7,fy2025_full,True,0.447,7.726,15.2,291,20902.73,"$-12,906.83",135,128,7,94.81481481481482,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/top20_realized_exit_fy2025_455/target04_fast_take_top20_mfe_gb04/9acaed2c9fd7/fy2025_full,sweeps/runs/top20_realized_exit_fy2025_455/target04_fast_take_top20_mfe_gb04/9acaed2c9fd7/fy2025_full/backtests/2026-06-10_22-28-55/1219463327.json,
