variant_id,family,hypothesis,config_hash,rc,status,ok,net_profit,drawdown,total_orders,sharpe,trades_csv,orders_csv,exit_events_csv,artifact_error,error,run_dir,result_path
p_only_base,anchor,Prior proactive-only anchor from #398.,40c299e3a019,0,Completed,True,10.118%,17.300%,243,0.526,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/p_only_base/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/p_only_base/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/p_only_base/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/p_only_base/fy2025_full,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/p_only_base/fy2025_full/backtests/2026-06-08_02-10-18/1414742310.json
p_only_tight_giveback,anchor,Prior proactive anchor with tighter giveback capture.,f43b649f1a1d,0,Completed,True,10.292%,17.400%,326,0.535,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/p_only_tight_giveback/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/p_only_tight_giveback/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/p_only_tight_giveback/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/p_only_tight_giveback/fy2025_full,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/p_only_tight_giveback/fy2025_full/backtests/2026-06-08_02-11-39/1863102377.json
scratch_base,anchor,Prior scratch baseline: no-progress and round-trip-to-flat management.,e73a28a888aa,0,Completed,True,5.996%,18.300%,1870,0.299,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_base/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_base/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_base/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_base/fy2025_full,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_base/fy2025_full/backtests/2026-06-08_02-12-36/1117642152.json
scratch_fast,anchor,Fast scratch: test whether early stalled trades should be cut sooner.,c5d8b03c23db,0,Completed,True,4.584%,18.800%,1661,0.228,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_fast/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_fast/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_fast/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_fast/fy2025_full,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_fast/fy2025_full/backtests/2026-06-08_02-25-02/1982222108.json
scratch_patient,anchor,Patient scratch: allow more time and more MFE before judging the path.,a356d7d2482f,0,Completed,True,5.240%,19.400%,2011,0.261,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_patient/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_patient/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_patient/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_patient/fy2025_full,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_patient/fy2025_full/backtests/2026-06-08_02-26-07/1936546770.json
scratch_tight_risk,anchor,"Tight risk scratch: same no-progress window, smaller flat band and loss cap.",04d76a3fb462,0,Completed,True,6.053%,17.600%,1385,0.306,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_tight_risk/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_tight_risk/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_tight_risk/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_tight_risk/fy2025_full,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/scratch_tight_risk/fy2025_full/backtests/2026-06-08_02-27-08/1931668852.json
target_04_fast_take,exit_target,Take strength earlier at +4%.,c5a2a8cebaa8,0,Completed,True,10.196%,17.800%,245,0.527,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/target_04_fast_take/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/target_04_fast_take/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/target_04_fast_take/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/target_04_fast_take/fy2025_full,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/target_04_fast_take/fy2025_full/backtests/2026-06-08_02-36-48/1409321667.json
target_08_let_run,exit_target,Let winners run to +8% before target exit.,94761bf56d98,0,Completed,True,10.330%,17.700%,223,0.53,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/target_08_let_run/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/target_08_let_run/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/target_08_let_run/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/target_08_let_run/fy2025_full,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/target_08_let_run/fy2025_full/backtests/2026-06-08_02-37-51/1802457298.json
target_10_patient_giveback,exit_target,High target plus looser giveback to see whether big trend holds offset noise.,b25a726338e5,0,Completed,True,9.640%,18.200%,239,0.487,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/target_10_patient_giveback/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/target_10_patient_giveback/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/target_10_patient_giveback/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/target_10_patient_giveback/fy2025_full,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/target_10_patient_giveback/fy2025_full/backtests/2026-06-08_02-38-33/1607656661.json
giveback_loose_04,exit_target,Proactive winner handling with a wider giveback band.,b0c3d615509a,0,Completed,True,9.957%,17.300%,259,0.517,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/giveback_loose_04/fy2025_full/trades.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/giveback_loose_04/fy2025_full/orders.csv,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/giveback_loose_04/fy2025_full/exit_events.csv,,,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/giveback_loose_04/fy2025_full,/Users/falk/projects/kumo-qc-george-range-sweep/sweeps/runs/george_range_30/giveback_loose_04/fy2025_full/backtests/2026-06-08_02-48-28/1400396959.json
