variant_id,family,wave,base_module,hypothesis,sweep_config_hash,window,ok,sharpe,ret_pct,dd_pct,orders,realized_net,unrealized,closed_trades,closed_wins,closed_losses,closed_win_rate,artifact_key,artifact_path,artifact_sha256,run_dir,result_path,error
giveback_no_bull_rh_off,rank_history_control,7,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Scanner disabled control for the selected real strategy base.,36f10f9c1685,fy2025_full,True,0.537,10.227,17.5,341,23594.96,"$-13,050.23",159,133,26,83.64779874213836,,,,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_off/36f10f9c1685/fy2025_full,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_off/36f10f9c1685/fy2025_full/backtests/2026-06-12_02-25-06/1936535340.json,
giveback_no_bull_rh_dynamic_score_medium,rank_history_dynamic_control,7,strategies.realized_giveback_no_bull,"Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Dynamic score-medium control from #479: min_score=-0.20, no fixed Top-X cap.",ee39b7e00283,fy2025_full,True,0.648,7.005,9.0,165,11237.55,"$-4,074.16",79,70,9,88.60759493670885,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_dynamic_score_medium/ee39b7e00283/fy2025_full,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_dynamic_score_medium/ee39b7e00283/fy2025_full/backtests/2026-06-12_02-26-18/1660242473.json,
giveback_no_bull_rh_requal_core50,rank_history_requalification,7,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Top-10 current focus plus repeated Top-50 rank-history requalification.,559eb9d30b47,fy2025_full,True,0.543,10.321,17.3,301,24191.16,"$-13,592.17",139,134,5,96.40287769784173,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_requal_core50/559eb9d30b47/fy2025_full,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_requal_core50/559eb9d30b47/fy2025_full/backtests/2026-06-12_02-25-42/1689962748.json,
giveback_no_bull_rh_requal_entry,rank_history_entry,7,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Rank-history requalification plus rank-aware intraday confirmation.,912c5519f35e,fy2025_full,True,0.516,9.83,17.5,315,23733.92,"$-13,612.15",146,135,11,92.46575342465754,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_requal_entry/912c5519f35e/fy2025_full,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_requal_entry/912c5519f35e/fy2025_full/backtests/2026-06-12_03-00-26/1836001909.json,
giveback_no_bull_rh_requal_sizing,rank_history_sizing,7,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Rank-history requalification plus rank-aware heat-cap sizing.,397c22ba12b7,fy2025_full,False,0.0,0.0,0.0,0,,,,,,,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_requal_sizing/397c22ba12b7/fy2025_full,,"ResultParseError: lean backtest exited 1 for config 397c22ba12b7 window fy2025_full — a non-zero exit is a failed run, not a result"
giveback_no_bull_rh_requal_entry_sizing,rank_history_entry_sizing,7,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Rank-history requalification plus rank-aware entry and sizing.,ef66d4d05d69,fy2025_full,True,0.599,13.135,20.0,270,29034.01,"$-15,651.38",124,109,15,87.90322580645162,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_requal_entry_sizing/ef66d4d05d69/fy2025_full,sweeps/runs/rank_history_requalification_fy2025_487/giveback_no_bull_rh_requal_entry_sizing/ef66d4d05d69/fy2025_full/backtests/2026-06-12_03-01-42/1116846306.json,
target04_fast_take_rh_off,rank_history_control,7,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. Scanner disabled control for the selected real strategy base.,36f10f9c1685,fy2025_full,True,0.481,9.305,17.6,275,23660.67,"$-14,103.40",126,123,3,97.61904761904762,,,,sweeps/runs/rank_history_requalification_fy2025_487/target04_fast_take_rh_off/36f10f9c1685/fy2025_full,sweeps/runs/rank_history_requalification_fy2025_487/target04_fast_take_rh_off/36f10f9c1685/fy2025_full/backtests/2026-06-12_03-01-07/1441999565.json,
target04_fast_take_rh_dynamic_score_medium,rank_history_dynamic_control,7,strategies.realized_target_04_fast_take,"Highest closed win rate/profit-factor realized candidate from #408. Dynamic score-medium control from #479: min_score=-0.20, no fixed Top-X cap.",ee39b7e00283,fy2025_full,True,0.675,8.539,10.5,155,13554.68,"$-4,869.82",73,71,2,97.26027397260275,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_fy2025_487/target04_fast_take_rh_dynamic_score_medium/ee39b7e00283/fy2025_full,sweeps/runs/rank_history_requalification_fy2025_487/target04_fast_take_rh_dynamic_score_medium/ee39b7e00283/fy2025_full/backtests/2026-06-12_03-36-45/1951212517.json,
target04_fast_take_rh_requal_core50,rank_history_requalification,7,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. Top-10 current focus plus repeated Top-50 rank-history requalification.,559eb9d30b47,fy2025_full,True,0.501,9.631,17.5,263,23804.23,"$-13,932.87",120,118,2,98.33333333333333,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_fy2025_487/target04_fast_take_rh_requal_core50/559eb9d30b47/fy2025_full,sweeps/runs/rank_history_requalification_fy2025_487/target04_fast_take_rh_requal_core50/559eb9d30b47/fy2025_full/backtests/2026-06-12_03-37-32/1598552189.json,
target04_fast_take_rh_requal_entry,rank_history_entry,7,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. Rank-history requalification plus rank-aware intraday confirmation.,912c5519f35e,fy2025_full,True,0.44,8.428,17.2,263,22549.78,"$-13,882.23",120,119,1,99.16666666666667,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_fy2025_487/target04_fast_take_rh_requal_entry/912c5519f35e/fy2025_full,sweeps/runs/rank_history_requalification_fy2025_487/target04_fast_take_rh_requal_entry/912c5519f35e/fy2025_full/backtests/2026-06-12_03-38-10/1700468113.json,
