variant_id,family,wave,base_module,hypothesis,sweep_config_hash,window,ok,sharpe,ret_pct,dd_pct,orders,realized_net,unrealized,closed_trades,closed_wins,closed_losses,closed_win_rate,artifact_path,artifact_sha256,run_dir,result_path,error
giveback_no_bull_scanner_off,real_strategy_control,2,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Scanner disabled control.,36f10f9c1685,fy2025_full,False,0.0,0.0,0.0,0,,,,,,,,,sweeps/runs/scanner_ranker_real_strategy_fy2025_453/giveback_no_bull_scanner_off/36f10f9c1685/fy2025_full,,"ResultParseError: lean backtest exited 1 for config 36f10f9c1685 window fy2025_full — a non-zero exit is a failed run, not a result"
giveback_no_bull_scanner_top15,real_strategy_scanner,2,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. LambdaMART scanner gate keeps daily Top-15.,82d5b94509a6,fy2025_full,False,0.0,0.0,0.0,0,,,,,,,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/scanner_ranker_real_strategy_fy2025_453/giveback_no_bull_scanner_top15/82d5b94509a6/fy2025_full,,"ResultParseError: lean backtest exited 1 for config 82d5b94509a6 window fy2025_full — a non-zero exit is a failed run, not a result"
giveback_no_bull_scanner_top20,real_strategy_scanner,2,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. LambdaMART scanner gate keeps daily Top-20.,90f501618cf2,fy2025_full,False,0.0,0.0,0.0,0,,,,,,,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/scanner_ranker_real_strategy_fy2025_453/giveback_no_bull_scanner_top20/90f501618cf2/fy2025_full,,"ResultParseError: lean backtest exited 1 for config 90f501618cf2 window fy2025_full — a non-zero exit is a failed run, not a result"
giveback_no_bull_scanner_top25,real_strategy_scanner,2,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. LambdaMART scanner gate keeps daily Top-25.,4d7cd7fc2ce4,fy2025_full,False,0.0,0.0,0.0,0,,,,,,,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/scanner_ranker_real_strategy_fy2025_453/giveback_no_bull_scanner_top25/4d7cd7fc2ce4/fy2025_full,,"ResultParseError: lean backtest exited 1 for config 4d7cd7fc2ce4 window fy2025_full — a non-zero exit is a failed run, not a result"
target04_fast_take_scanner_off,real_strategy_control,2,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. Scanner disabled control.,36f10f9c1685,fy2025_full,False,0.0,0.0,0.0,0,,,,,,,,,sweeps/runs/scanner_ranker_real_strategy_fy2025_453/target04_fast_take_scanner_off/36f10f9c1685/fy2025_full,,"ResultParseError: lean backtest exited 1 for config 36f10f9c1685 window fy2025_full — a non-zero exit is a failed run, not a result"
target04_fast_take_scanner_top15,real_strategy_scanner,2,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. LambdaMART scanner gate keeps daily Top-15.,82d5b94509a6,fy2025_full,True,0.556,8.009,12.0,185,17071.78,"$-8,894.86",84,81,3,96.42857142857143,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/scanner_ranker_real_strategy_fy2025_453/target04_fast_take_scanner_top15/82d5b94509a6/fy2025_full,sweeps/runs/scanner_ranker_real_strategy_fy2025_453/target04_fast_take_scanner_top15/82d5b94509a6/fy2025_full/backtests/2026-06-10_09-14-02/1589070915.json,
target04_fast_take_scanner_top20,real_strategy_scanner,2,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. LambdaMART scanner gate keeps daily Top-20.,90f501618cf2,fy2025_full,False,0.0,0.0,0.0,0,,,,,,,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/scanner_ranker_real_strategy_fy2025_453/target04_fast_take_scanner_top20/90f501618cf2/fy2025_full,,"ResultParseError: lean backtest exited 1 for config 90f501618cf2 window fy2025_full — a non-zero exit is a failed run, not a result"
target04_fast_take_scanner_top25,real_strategy_scanner,2,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. LambdaMART scanner gate keeps daily Top-25.,4d7cd7fc2ce4,fy2025_full,False,0.0,0.0,0.0,0,,,,,,,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/scanner_ranker_real_strategy_fy2025_453/target04_fast_take_scanner_top25/4d7cd7fc2ce4/fy2025_full,,"ResultParseError: lean backtest exited 1 for config 4d7cd7fc2ce4 window fy2025_full — a non-zero exit is a failed run, not a result"
target08_let_run_scanner_off,real_strategy_control,2,strategies.realized_target_08_let_run,Patient realized candidate from #408: fewer trades and higher average closed return. Scanner disabled control.,36f10f9c1685,fy2025_full,False,0.0,0.0,0.0,0,,,,,,,,,sweeps/runs/scanner_ranker_real_strategy_fy2025_453/target08_let_run_scanner_off/36f10f9c1685/fy2025_full,,"ResultParseError: lean backtest exited 1 for config 36f10f9c1685 window fy2025_full — a non-zero exit is a failed run, not a result"
target08_let_run_scanner_top15,real_strategy_scanner,2,strategies.realized_target_08_let_run,Patient realized candidate from #408: fewer trades and higher average closed return. LambdaMART scanner gate keeps daily Top-15.,82d5b94509a6,fy2025_full,False,0.0,0.0,0.0,0,,,,,,,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/scanner_ranker_real_strategy_fy2025_453/target08_let_run_scanner_top15/82d5b94509a6/fy2025_full,,"ResultParseError: lean backtest exited 1 for config 82d5b94509a6 window fy2025_full — a non-zero exit is a failed run, not a result"
