experiment_id,issue,experiment_type,hypothesis,denominator,label_set,feature_set,model_type,eval_protocol,candidate_rows,covered_dates,median_rows_per_day,labels_total,labels_in_panel,labels_selected,recall_at_5,recall_at_10,recall_at_20,recall_at_50,recall_at_100,recall_at_200,precision_pct,lift,command,commit,source,status,verdict,notes
qc_local_score7_seen_coverage,#428,coverage,Exact-date QC local score>=7 coverage is the first blocker,QC local coarse 2026 covered subset,george_oof_stage1_scores 306 covered rows,QC coarse plus BctScoreFull min_score 7,coverage audit,exact-date label funnel,5086,46,,306,73,,,,,,,,,,python -m pytest tests/sweeps/test_george_coverage_audit.py,c5a34cc,FOR_FALK.md PR #428,complete,coverage_blocker,QC candidate coverage was 73 of 306 and not_in_coarse_feed dominated misses
massive_top3000_no_min_coverage,#424,coverage,Broad Massive denominator covers George labels before BCT score filtering,Massive ranking denominator top3000 ADV20 price>=10,george_oof_stage1_scores 306 covered rows,broad Massive denominator no min score,coverage bridge,exact-date label coverage,138000,46,3000,306,304,,,,,,,,,,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.massive_qc_bridge --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator.csv --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --year 2026 --top-n 3000 --no-min-score,c5a34cc,sweeps/archive/README.md,complete,diagnostic,304 of 306 labels are in the broad denominator
massive_top3000_score7_lane,#424,coverage,Current score>=7 lane misses too many George rows even on the broad denominator,Massive ranking denominator top3000 ADV20 price>=10,george_oof_stage1_scores 306 covered rows,BctScoreFull min_score 7,coverage bridge,exact-date label coverage,25080,46,484.5,306,181,,,,,,,,,,python -m pytest tests/sweeps/test_massive_qc_bridge.py,c5a34cc,FOR_FALK.md PR #428,complete,not_promoted,Score>=7 broad lane captured 181 of 306
massive_top3000_score6_lane,#424,coverage,Score>=6 creates the required coverage lane but leaves too many rows per day,Massive ranking denominator top3000 ADV20 price>=10,george_oof_stage1_scores 306 covered rows,BctScoreFull min_score 6,coverage bridge,exact-date label coverage,47493,46,1094,306,281,,,,,,,,,,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.massive_qc_bridge --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator.csv --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --year 2026 --top-n 3000 --min-score 6,c5a34cc,sweeps/archive/README.md,complete,useful_not_promoted,281 of 306 labels in panel but median daily pool is 1094 rows
score6_clean_top2000_reducer,#422,filter,Clean daily structure plus top2000 liquidity can shrink the score6 review lane while preserving many labels,Massive ranking denominator top3000 score>=6,george_oof_stage1_scores 306 covered rows,clean_daily_base no_chase ADV top2000,rule filter,label retention after filter,15517,46,286.5,306,216,,,,,,,,,,python -m pytest tests/sweeps/test_george_topk_audit.py,c5a34cc,FOR_FALK.md PR #428,complete,useful_not_promoted,Cuts to median 286.5 rows per day and keeps 216 labels
fixed_qc_safe_score6_ranker,#422,ranker,Fixed QC-safe chart ranker is not sharp enough for top lists,Massive ranking denominator top3000 score>=6,george_oof_stage1_scores 306 covered rows,chart_features fixed score plus liquidity,rule ranker,date-grouped topK recall,47493,46,1094,306,281,,,2,,36,63,109,,,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.george_topk_audit --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --year 2026,c5a34cc,sweeps/archive/README.md,complete,rejected_for_runtime,Median George rank was 277 in this pool
hand_daily_structure_rank,#422,ranker,Simple hand-ranked daily structure improves but does not solve top10,Massive ranking denominator top3000 score>=6,george_oof_stage1_scores 306 covered rows,clean_top2000 daily_structure_rank,rule ranker,date-grouped topK recall,15517,46,286.5,306,216,,,26,,84,138,,,,python -m pytest tests/sweeps/test_george_topk_audit.py,c5a34cc,FOR_FALK.md PR #428,complete,not_promoted,Best simple hand rule was 26 of 306 recall@10
learned_logistic_clean_top2000,#423,ranker,Date-grouped learned ranker should beat hand ranking without using research-only labels at runtime,Massive ranking denominator top3000 score>=6,george_oof_stage1_scores 306 covered rows,QC-safe clean_top2000 features,logistic ridge,date-grouped chronological OOF topK recall,47493,46,1094,306,281,,,60,104,147,181,,,,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.george_learned_ranker --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --year 2026,c5a34cc,sweeps/archive/README.md,complete,useful_not_promoted,First learned baseline reached 60 of 306 recall@10
learned_logistic_sector_clean_top2000,#423,ranker,Sector and industry context should lift the learned selector,Massive profiled denominator top3000 score>=6,george_oof_stage1_scores 306 covered rows,QC-safe clean_top2000 plus sector context,logistic ridge,date-grouped chronological OOF topK recall,47493,46,1094,306,281,,,65,107,154,182,,,,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.george_learned_ranker --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator_profiled.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --year 2026 --use-sector-context,c5a34cc,sweeps/archive/README.md,complete,useful_not_promoted,Sector context adds a small OOF lift over no-context logistic
learned_pairwise_sector_clean_top2000,#423,ranker,Same-date pairwise training should focus the selector on George-vs-rest distinctions,Massive profiled denominator top3000 score>=6,george_oof_stage1_scores 306 covered rows,QC-safe clean_top2000 plus sector context,pairwise linear,date-grouped chronological OOF topK recall,47493,46,1094,306,281,,46,72,109,160,187,,,,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.george_learned_ranker --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator_profiled.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --year 2026 --model-type pairwise --use-sector-context --learning-rate 0.08 --pairwise-negatives-per-positive 80,c5a34cc,sweeps/archive/README.md,complete,best_current,Current best QC-side offline selector benchmark
learned_pairwise_first_hour_clean_top2000,#423,ranker,First-hour facts might improve pairwise rank selection,Massive profiled denominator top3000 score>=6 with minute data,george_oof_stage1_scores 306 covered rows,QC-safe clean_top2000 plus first-hour features,pairwise linear,date-grouped chronological OOF topK recall,,,,306,281,,,70,,,,,,,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.george_learned_ranker --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator_profiled.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --year 2026 --minute-dir /Users/falk/projects/kumo-qc/data/equity/usa/minute --model-type pairwise --use-first-hour --learning-rate 0.08 --pairwise-negatives-per-positive 80,c5a34cc,sweeps/archive/README.md,complete,not_promoted,Pairwise plus first-hour alone was 70 of 306 recall@10
learned_pairwise_sector_first_hour_clean_top2000,#423,ranker,Combining sector context and first-hour facts might improve pairwise rank selection,Massive profiled denominator top3000 score>=6 with minute data,george_oof_stage1_scores 306 covered rows,QC-safe clean_top2000 plus sector context plus first-hour features,pairwise linear,date-grouped chronological OOF topK recall,,,,306,281,,,66,,,,,,,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.george_learned_ranker --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator_profiled.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --year 2026 --minute-dir /Users/falk/projects/kumo-qc/data/equity/usa/minute --model-type pairwise --use-sector-context --use-first-hour --learning-rate 0.08 --pairwise-negatives-per-positive 80,c5a34cc,sweeps/archive/README.md,complete,rejected_for_selector,First-hour lowered top10 when combined with sector in this model
