variant_id,family,wave,base_module,hypothesis,sweep_config_hash,window,ok,sharpe,ret_pct,dd_pct,orders,realized_net,unrealized,closed_trades,closed_wins,closed_losses,closed_win_rate,artifact_key,artifact_path,artifact_sha256,run_dir,result_path,error
giveback_no_bull_rh_off,rank_history_control,7,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Scanner disabled control for the selected real strategy base.,36f10f9c1685,jan2025_proof,True,6.582,3.799,1.9,86,5500.84,"$-1,641.47",30,26,4,86.66666666666667,,,,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/giveback_no_bull_rh_off/36f10f9c1685/jan2025_proof,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/giveback_no_bull_rh_off/36f10f9c1685/jan2025_proof/backtests/2026-06-12_02-10-05/1499234747.json,
giveback_no_bull_rh_dynamic_score_medium,rank_history_dynamic_control,7,strategies.realized_giveback_no_bull,"Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Dynamic score-medium control from #479: min_score=-0.20, no fixed Top-X cap.",ee39b7e00283,jan2025_proof,True,4.629,2.178,1.8,50,2463.63,$-247.24,19,17,2,89.47368421052632,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/giveback_no_bull_rh_dynamic_score_medium/ee39b7e00283/jan2025_proof,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/giveback_no_bull_rh_dynamic_score_medium/ee39b7e00283/jan2025_proof/backtests/2026-06-12_02-10-39/1237151578.json,
giveback_no_bull_rh_requal_core50,rank_history_requalification,7,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Top-10 current focus plus repeated Top-50 rank-history requalification.,559eb9d30b47,jan2025_proof,True,6.634,3.56,2.0,92,5320.95,"$-1,693.15",34,30,4,88.23529411764706,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/giveback_no_bull_rh_requal_core50/559eb9d30b47/jan2025_proof,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/giveback_no_bull_rh_requal_core50/559eb9d30b47/jan2025_proof/backtests/2026-06-12_02-11-15/1176168973.json,
giveback_no_bull_rh_requal_entry,rank_history_entry,7,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Rank-history requalification plus rank-aware intraday confirmation.,912c5519f35e,jan2025_proof,True,5.907,3.018,2.0,85,4659.31,"$-1,581.44",30,28,2,93.33333333333333,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/giveback_no_bull_rh_requal_entry/912c5519f35e/jan2025_proof,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/giveback_no_bull_rh_requal_entry/912c5519f35e/jan2025_proof/backtests/2026-06-12_02-12-14/1256059117.json,
giveback_no_bull_rh_requal_sizing,rank_history_sizing,7,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Rank-history requalification plus rank-aware heat-cap sizing.,397c22ba12b7,jan2025_proof,True,10.205,4.98,1.8,61,6205.40,"$-1,184.96",20,19,1,95.0,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/giveback_no_bull_rh_requal_sizing/397c22ba12b7/jan2025_proof,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/giveback_no_bull_rh_requal_sizing/397c22ba12b7/jan2025_proof/backtests/2026-06-12_02-12-54/1786500363.json,
giveback_no_bull_rh_requal_entry_sizing,rank_history_entry_sizing,7,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Rank-history requalification plus rank-aware entry and sizing.,ef66d4d05d69,jan2025_proof,True,8.72,4.48,1.9,62,5562.06,"$-1,037.87",22,20,2,90.9090909090909,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/giveback_no_bull_rh_requal_entry_sizing/ef66d4d05d69/jan2025_proof,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/giveback_no_bull_rh_requal_entry_sizing/ef66d4d05d69/jan2025_proof/backtests/2026-06-12_02-13-32/1981163475.json,
target04_fast_take_rh_off,rank_history_control,7,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. Scanner disabled control for the selected real strategy base.,36f10f9c1685,jan2025_proof,True,6.448,3.876,2.1,61,4674.11,$-760.54,19,19,0,100.0,,,,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/target04_fast_take_rh_off/36f10f9c1685/jan2025_proof,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/target04_fast_take_rh_off/36f10f9c1685/jan2025_proof/backtests/2026-06-12_02-14-33/1827533529.json,
target04_fast_take_rh_dynamic_score_medium,rank_history_dynamic_control,7,strategies.realized_target_04_fast_take,"Highest closed win rate/profit-factor realized candidate from #408. Dynamic score-medium control from #479: min_score=-0.20, no fixed Top-X cap.",ee39b7e00283,jan2025_proof,True,3.837,2.171,2.3,39,2477.65,$-284.18,11,11,0,100.0,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/target04_fast_take_rh_dynamic_score_medium/ee39b7e00283/jan2025_proof,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/target04_fast_take_rh_dynamic_score_medium/ee39b7e00283/jan2025_proof/backtests/2026-06-12_02-15-11/1851236528.json,
target04_fast_take_rh_requal_core50,rank_history_requalification,7,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. Top-10 current focus plus repeated Top-50 rank-history requalification.,559eb9d30b47,jan2025_proof,True,6.311,3.454,2.1,58,4100.89,$-613.27,17,17,0,100.0,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/target04_fast_take_rh_requal_core50/559eb9d30b47/jan2025_proof,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/target04_fast_take_rh_requal_core50/559eb9d30b47/jan2025_proof/backtests/2026-06-12_02-15-48/1995229811.json,
target04_fast_take_rh_requal_entry,rank_history_entry,7,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. Rank-history requalification plus rank-aware intraday confirmation.,912c5519f35e,jan2025_proof,True,6.366,3.529,2.1,63,4393.15,$-824.41,20,20,0,100.0,objectstore://bct_lambdamart_qc_safe_v1.json,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/target04_fast_take_rh_requal_entry/912c5519f35e/jan2025_proof,sweeps/runs/rank_history_requalification_jan_smoke_487_fix1/target04_fast_take_rh_requal_entry/912c5519f35e/jan2025_proof/backtests/2026-06-12_02-16-43/1288873193.json,
