variant_id,family,wave,base_module,hypothesis,sweep_config_hash,window,ok,sharpe,ret_pct,dd_pct,orders,realized_net,unrealized,closed_trades,closed_wins,closed_losses,closed_win_rate,artifact_path,artifact_sha256,run_dir,result_path,error
giveback_no_bull_dynamic_off,dynamic_realized_control,6,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Scanner disabled dynamic-threshold control.,36f10f9c1685,fy2025_full,True,0.56,10.635,17.4,335,23957.43,"$-13,010.36",156,140,16,89.74358974358975,,,sweeps/runs/dynamic_realized_scanner_fy2025_479/giveback_no_bull_dynamic_off/36f10f9c1685/fy2025_full,sweeps/runs/dynamic_realized_scanner_fy2025_479/giveback_no_bull_dynamic_off/36f10f9c1685/fy2025_full/backtests/2026-06-11_13-05-55/1241970281.json,
giveback_no_bull_dynamic_score_loose,dynamic_realized_scanner,6,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. loose dynamic LambdaMART score threshold; no fixed Top-X cap: keep candidates with scanner score >= -0.25; scanner_ranker_top_x=0 means no fixed Top-X cap.,4c5580e3c258,fy2025_full,True,0.563,10.72,17.4,309,24786.99,"$-13,780.74",143,130,13,90.9090909090909,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/dynamic_realized_scanner_fy2025_479/giveback_no_bull_dynamic_score_loose/4c5580e3c258/fy2025_full,sweeps/runs/dynamic_realized_scanner_fy2025_479/giveback_no_bull_dynamic_score_loose/4c5580e3c258/fy2025_full/backtests/2026-06-11_13-07-11/1380502585.json,
giveback_no_bull_dynamic_score_medium,dynamic_realized_scanner,6,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. balanced dynamic LambdaMART score threshold; no fixed Top-X cap: keep candidates with scanner score >= -0.20; scanner_ranker_top_x=0 means no fixed Top-X cap.,ee39b7e00283,fy2025_full,True,0.786,7.319,7.9,139,11578.09,"$-4,126.65",66,58,8,87.87878787878788,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/dynamic_realized_scanner_fy2025_479/giveback_no_bull_dynamic_score_medium/ee39b7e00283/fy2025_full,sweeps/runs/dynamic_realized_scanner_fy2025_479/giveback_no_bull_dynamic_score_medium/ee39b7e00283/fy2025_full/backtests/2026-06-11_13-06-33/1257638289.json,
giveback_no_bull_dynamic_score_strict,dynamic_realized_scanner,6,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. strict dynamic LambdaMART score threshold; no fixed Top-X cap: keep candidates with scanner score >= -0.16; scanner_ranker_top_x=0 means no fixed Top-X cap.,3793f5c2727f,fy2025_full,True,0.043,1.583,6.0,81,5225.47,"$-3,566.66",38,35,3,92.10526315789474,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/dynamic_realized_scanner_fy2025_479/giveback_no_bull_dynamic_score_strict/3793f5c2727f/fy2025_full,sweeps/runs/dynamic_realized_scanner_fy2025_479/giveback_no_bull_dynamic_score_strict/3793f5c2727f/fy2025_full/backtests/2026-06-11_13-40-35/1485666200.json,
target04_fast_take_dynamic_off,dynamic_realized_control,6,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. Scanner disabled dynamic-threshold control.,36f10f9c1685,fy2025_full,True,0.555,10.736,17.8,277,24951.92,"$-13,962.47",127,123,4,96.8503937007874,,,sweeps/runs/dynamic_realized_scanner_fy2025_479/target04_fast_take_dynamic_off/36f10f9c1685/fy2025_full,sweeps/runs/dynamic_realized_scanner_fy2025_479/target04_fast_take_dynamic_off/36f10f9c1685/fy2025_full/backtests/2026-06-11_13-43-31/1585753520.json,
target04_fast_take_dynamic_score_loose,dynamic_realized_scanner,6,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. loose dynamic LambdaMART score threshold; no fixed Top-X cap: keep candidates with scanner score >= -0.25; scanner_ranker_top_x=0 means no fixed Top-X cap.,4c5580e3c258,fy2025_full,True,0.509,9.785,17.6,275,24005.24,"$-13,968.59",126,123,3,97.61904761904762,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/dynamic_realized_scanner_fy2025_479/target04_fast_take_dynamic_score_loose/4c5580e3c258/fy2025_full,sweeps/runs/dynamic_realized_scanner_fy2025_479/target04_fast_take_dynamic_score_loose/4c5580e3c258/fy2025_full/backtests/2026-06-11_13-45-50/1226159178.json,
target04_fast_take_dynamic_score_medium,dynamic_realized_scanner,6,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. balanced dynamic LambdaMART score threshold; no fixed Top-X cap: keep candidates with scanner score >= -0.20; scanner_ranker_top_x=0 means no fixed Top-X cap.,ee39b7e00283,fy2025_full,True,0.682,8.932,11.1,162,14479.49,"$-5,395.31",76,74,2,97.36842105263158,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/dynamic_realized_scanner_fy2025_479/target04_fast_take_dynamic_score_medium/ee39b7e00283/fy2025_full,sweeps/runs/dynamic_realized_scanner_fy2025_479/target04_fast_take_dynamic_score_medium/ee39b7e00283/fy2025_full/backtests/2026-06-11_14-18-11/1989533347.json,
target04_fast_take_dynamic_score_strict,dynamic_realized_scanner,6,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. strict dynamic LambdaMART score threshold; no fixed Top-X cap: keep candidates with scanner score >= -0.16; scanner_ranker_top_x=0 means no fixed Top-X cap.,3793f5c2727f,fy2025_full,True,1.02,10.061,7.6,118,11285.10,"$-1,111.86",56,55,1,98.21428571428571,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/dynamic_realized_scanner_fy2025_479/target04_fast_take_dynamic_score_strict/3793f5c2727f/fy2025_full,sweeps/runs/dynamic_realized_scanner_fy2025_479/target04_fast_take_dynamic_score_strict/3793f5c2727f/fy2025_full/backtests/2026-06-11_14-22-27/1938393537.json,
target08_let_run_dynamic_off,dynamic_realized_control,6,strategies.realized_target_08_let_run,Patient realized candidate from #408: fewer trades and higher average closed return. Scanner disabled dynamic-threshold control.,36f10f9c1685,fy2025_full,True,0.557,10.687,17.3,249,24379.87,"$-13,466.60",113,106,7,93.80530973451327,,,sweeps/runs/dynamic_realized_scanner_fy2025_479/target08_let_run_dynamic_off/36f10f9c1685/fy2025_full,sweeps/runs/dynamic_realized_scanner_fy2025_479/target08_let_run_dynamic_off/36f10f9c1685/fy2025_full/backtests/2026-06-11_14-23-52/1643265757.json,
target08_let_run_dynamic_score_loose,dynamic_realized_scanner,6,strategies.realized_target_08_let_run,Patient realized candidate from #408: fewer trades and higher average closed return. loose dynamic LambdaMART score threshold; no fixed Top-X cap: keep candidates with scanner score >= -0.25; scanner_ranker_top_x=0 means no fixed Top-X cap.,4c5580e3c258,fy2025_full,True,0.499,9.651,17.6,263,23567.72,"$-13,676.55",120,108,12,90.0,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/dynamic_realized_scanner_fy2025_479/target08_let_run_dynamic_score_loose/4c5580e3c258/fy2025_full,sweeps/runs/dynamic_realized_scanner_fy2025_479/target08_let_run_dynamic_score_loose/4c5580e3c258/fy2025_full/backtests/2026-06-11_14-55-28/1589530484.json,
