variant_id,family,wave,base_module,hypothesis,sweep_config_hash,window,ok,sharpe,ret_pct,dd_pct,orders,realized_net,unrealized,closed_trades,closed_wins,closed_losses,closed_win_rate,artifact_path,artifact_sha256,run_dir,result_path,error
giveback_no_bull_dynamic_off,dynamic_realized_control,6,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. Scanner disabled dynamic-threshold control.,36f10f9c1685,jan2025_proof,True,6.498,3.938,2.1,80,5494.40,"$-1,502.67",27,26,1,96.29629629629629,,,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/giveback_no_bull_dynamic_off/36f10f9c1685/jan2025_proof,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/giveback_no_bull_dynamic_off/36f10f9c1685/jan2025_proof/backtests/2026-06-11_12-54-12/1160088900.json,
giveback_no_bull_dynamic_score_loose,dynamic_realized_scanner,6,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. loose dynamic LambdaMART score threshold; no fixed Top-X cap: keep candidates with scanner score >= -0.25; scanner_ranker_top_x=0 means no fixed Top-X cap.,4c5580e3c258,jan2025_proof,True,7.339,4.112,1.9,82,5855.67,"$-1,686.00",29,26,3,89.65517241379311,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/giveback_no_bull_dynamic_score_loose/4c5580e3c258/jan2025_proof,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/giveback_no_bull_dynamic_score_loose/4c5580e3c258/jan2025_proof/backtests/2026-06-11_12-54-48/1457932639.json,
giveback_no_bull_dynamic_score_medium,dynamic_realized_scanner,6,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. balanced dynamic LambdaMART score threshold; no fixed Top-X cap: keep candidates with scanner score >= -0.20; scanner_ranker_top_x=0 means no fixed Top-X cap.,ee39b7e00283,jan2025_proof,True,5.128,1.965,1.3,50,2863.33,$-857.99,20,19,1,95.0,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/giveback_no_bull_dynamic_score_medium/ee39b7e00283/jan2025_proof,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/giveback_no_bull_dynamic_score_medium/ee39b7e00283/jan2025_proof/backtests/2026-06-11_12-55-25/1539948511.json,
giveback_no_bull_dynamic_score_strict,dynamic_realized_scanner,6,strategies.realized_giveback_no_bull,Best return/DD realized candidate from #408: tight giveback without bullish-structure veto. strict dynamic LambdaMART score threshold; no fixed Top-X cap: keep candidates with scanner score >= -0.16; scanner_ranker_top_x=0 means no fixed Top-X cap.,3793f5c2727f,jan2025_proof,True,7.18,0.948,0.3,19,940.60,$19.59,6,6,0,100.0,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/giveback_no_bull_dynamic_score_strict/3793f5c2727f/jan2025_proof,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/giveback_no_bull_dynamic_score_strict/3793f5c2727f/jan2025_proof/backtests/2026-06-11_12-56-33/1881091052.json,
target04_fast_take_dynamic_off,dynamic_realized_control,6,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. Scanner disabled dynamic-threshold control.,36f10f9c1685,jan2025_proof,True,6.195,3.745,2.1,62,4470.74,$-687.30,19,19,0,100.0,,,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/target04_fast_take_dynamic_off/36f10f9c1685/jan2025_proof,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/target04_fast_take_dynamic_off/36f10f9c1685/jan2025_proof/backtests/2026-06-11_12-57-18/1323832636.json,
target04_fast_take_dynamic_score_loose,dynamic_realized_scanner,6,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. loose dynamic LambdaMART score threshold; no fixed Top-X cap: keep candidates with scanner score >= -0.25; scanner_ranker_top_x=0 means no fixed Top-X cap.,4c5580e3c258,jan2025_proof,True,6.225,3.748,2.1,63,4646.26,$-858.09,20,20,0,100.0,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/target04_fast_take_dynamic_score_loose/4c5580e3c258/jan2025_proof,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/target04_fast_take_dynamic_score_loose/4c5580e3c258/jan2025_proof/backtests/2026-06-11_12-58-01/1516602866.json,
target04_fast_take_dynamic_score_medium,dynamic_realized_scanner,6,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. balanced dynamic LambdaMART score threshold; no fixed Top-X cap: keep candidates with scanner score >= -0.20; scanner_ranker_top_x=0 means no fixed Top-X cap.,ee39b7e00283,jan2025_proof,True,7.261,2.907,1.4,41,2859.28,$74.01,13,13,0,100.0,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/target04_fast_take_dynamic_score_medium/ee39b7e00283/jan2025_proof,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/target04_fast_take_dynamic_score_medium/ee39b7e00283/jan2025_proof/backtests/2026-06-11_12-59-02/1948862258.json,
target04_fast_take_dynamic_score_strict,dynamic_realized_scanner,6,strategies.realized_target_04_fast_take,Highest closed win rate/profit-factor realized candidate from #408. strict dynamic LambdaMART score threshold; no fixed Top-X cap: keep candidates with scanner score >= -0.16; scanner_ranker_top_x=0 means no fixed Top-X cap.,3793f5c2727f,jan2025_proof,True,2.287,0.943,1.7,19,729.20,$221.61,4,4,0,100.0,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/target04_fast_take_dynamic_score_strict/3793f5c2727f/jan2025_proof,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/target04_fast_take_dynamic_score_strict/3793f5c2727f/jan2025_proof/backtests/2026-06-11_12-59-55/1883611221.json,
target08_let_run_dynamic_off,dynamic_realized_control,6,strategies.realized_target_08_let_run,Patient realized candidate from #408: fewer trades and higher average closed return. Scanner disabled dynamic-threshold control.,36f10f9c1685,jan2025_proof,True,6.311,3.822,2.1,53,3944.83,$-92.98,15,15,0,100.0,,,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/target08_let_run_dynamic_off/36f10f9c1685/jan2025_proof,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/target08_let_run_dynamic_off/36f10f9c1685/jan2025_proof/backtests/2026-06-11_13-00-38/1972562962.json,
target08_let_run_dynamic_score_loose,dynamic_realized_scanner,6,strategies.realized_target_08_let_run,Patient realized candidate from #408: fewer trades and higher average closed return. loose dynamic LambdaMART score threshold; no fixed Top-X cap: keep candidates with scanner score >= -0.25; scanner_ranker_top_x=0 means no fixed Top-X cap.,4c5580e3c258,jan2025_proof,True,6.242,3.816,2.1,51,3764.68,$79.15,14,14,0,100.0,storage/bct_lambdamart_qc_safe_v1.json,8efd413bb3d05a98bc7fbd6fecd04489e1137d6c15bd845cb3bed7b29f58d4ed,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/target08_let_run_dynamic_score_loose/4c5580e3c258/jan2025_proof,sweeps/runs/dynamic_realized_scanner_jan_smoke_479/target08_let_run_dynamic_score_loose/4c5580e3c258/jan2025_proof/backtests/2026-06-11_13-01-37/1655034727.json,
