experiment_id,hypothesis,original_sharpe,commit_hash,status
E36-atr-stop-FY2025,E36 ATR initial stop FY2025 — NEUTRAL (-0.132 Sharpe delta vs G3 baseline),0.947,9dcae5f,neutral
E36-v2-ATR-stop-1.5x-FY2025,E36-v2 ATR stop 1.5x multiplier — REJECTED. 1.268 Sharpe vs E40d 1.442 (delta -0.174). ATR stop underperforms Kijun stop. Confirms Kijun as optimal trailing stop mechanism. E36 track closed.,1.268,cloud-e40d,rejected
E37-buy-stop-FY2025,E37 buy stop entry FY2025 — REJECTED (-0.816 Sharpe delta vs G3 baseline),0.263,d65c4b9,rejected
E38-resistance-gate-FY2025,E38 resistance gate FY2025 — REJECTED (-0.514 Sharpe delta vs G3 baseline),0.565,c10a1a2,rejected
E39-ladder-exits-FY2025,E39 ladder exits FY2025 — REJECTED (-0.566 Sharpe delta vs G3 baseline),0.470,3140ae2,rejected
E43-v2-pyramid-adds-only-FY2025,E43-v2 pyramid adds only (no breakeven stop) — REJECTED. 1.374 Sharpe vs E40d 1.442 (delta -0.068). 99 pyramid adds fired (vs 8 in E43 combo). Raw return +53.6% vs E40d +42.4% (+11.2pp) but DD 16.1% v,1.374,cloud-e40d,rejected
E44-v2-ADX-tiebreaker-FY2025,E44-v2 ADX tiebreaker (sort score desc ADX desc) — CATASTROPHIC REJECTION. -0.140 Sharpe vs E40d 1.442 (delta -1.582). STX entered 2025-06-10 @126.36 confirming slot-competition theory — but high-ADX ,-0.140,cloud-e40d,rejected
E51-parabolic-block-FY2025,E51 parabolic block (13-day move >25%) — REJECTED. 1.254 Sharpe vs E40d 1.442 (delta -0.188). 12 parabolic skips. Net negative effect — parabolic moves are momentum confirmers,1.254,cloud-e40d,rejected
E53-v2-earnings-avoidance-2d-FY2025,E53-v2 earnings avoidance ±2d — REJECTED. 1.208 Sharpe vs E40d 1.442 (delta -0.234). 7 entries blocked in FY2025; net negative. Earnings avoidance track closed.,1.208,cloud-e40d,rejected
E85-signal-freshness-2d-FY2025,E85 signal freshness gate >2d — REJECTED. 1.268 Sharpe vs E40d 1.442 (delta -0.174). 0 freshness skips — gate never fires. Daily rebalancing means BCT signals refresh every day a ticker qualifies. Sig,1.268,cloud-e40d,rejected
